business,year_founded,category_code,country_code,Continent
Hamoud Boualem,1878,CAT11,DZA,Africa
Communauté Électrique du Bénin,1968,CAT10,BEN,Africa
Botswana Meat Commission,1965,CAT1,BWA,Africa
Air Burkina,1967,CAT2,BFA,Africa
Brarudi,1955,CAT9,BDI,Africa
Cameroon Development Corporation,1947,CAT1,CMR,Africa
Correios de Cabo Verde,1849,CAT16,CPV,Africa
Banque Internationale pour la Centrafrique,1946,CAT3,CAF,Africa
Cotontchad,1971,CAT1,TCD,Africa
Central Bank of the Comoros,1981,CAT3,COM,Africa
Société nationale des Chemins de fer du Congo,1889,CAT2,COD,Africa
Development Bank of the Central African States,1975,CAT3,COG,Africa
La Poste,1945,CAT16,CIV,Africa
Ethio-Djibouti Railways,1901,CAT2,DJI,Africa
Egyptian National Railways,1854,CAT2,EGY,Africa
Guinea Ecuatorial Airlines,1996,CAT2,GNQ,Africa
Asmara Brewery,1939,CAT9,ERI,Africa
National Bank of Ethiopia,1906,CAT3,ETH,Africa
BGFIBank Group,1971,CAT3,GAB,Africa
Halco Mining,1962,CAT15,GIN,Africa
Correios da Guiné-Bissau,1973,CAT16,GNB,Africa
KCB Group Limited,1896,CAT3,KEN,Africa
Central Bank of Lesotho,1978,CAT3,LSO,Africa
National Port Authority,1921,CAT2,LBR,Africa
Umma Bank,1907,CAT3,LBY,Africa
Air Madagascar,1962,CAT2,MDG,Africa
Malawi Broadcasting Corporation,1964,CAT13,MWI,Africa
Office de Radiodiffusion-Télévision du Mali,1957,CAT13,MLI,Africa
Central Bank of Mauritania,1973,CAT3,MRT,Africa
Mauritius Post,1772,CAT16,MUS,Africa
Attijariwafa Bank,1904,CAT3,MAR,Africa
Beira Railroad Corporation,1892,CAT2,MOZ,Africa
NamPost,1814,CAT16,NAM,Africa
Office of Radio and Television of Niger,1960,CAT13,NER,Africa
First Bank of Nigeria,1894,CAT3,NGA,Africa
National Post Office,1922,CAT16,RWA,Africa
Central Bank of São Tomé and Príncipe,1975,CAT3,STP,Africa
Dakar–Niger Railway,1924,CAT2,SEN,Africa
Air Seychelles,1977,CAT2,SYC,Asia
Rokel Commercial Bank,1917,CAT3,SLE,Africa
Radio Mogadishu,1943,CAT13,SOM,Africa
Premier FMCG,1820,CAT12,ZAF,Africa
Ivory Bank,1994,CAT3,SSD,Africa
Bank of Khartoum,1913,CAT3,SDN,Africa
Swazi Rail,1963,CAT2,SWZ,Africa
Tanzania Breweries Limited,1933,CAT9,TZA,Africa
La Poste du Togo,1883,CAT16,TGO,Africa
La Poste Tunisienne,1847,CAT16,TUN,Africa
Stanbic Bank Uganda Limited,1906,CAT3,UGA,Africa
ZamPost,1896,CAT16,ZMB,Africa
Standard Chartered Zimbabwe,1892,CAT3,ZWE,Africa
Spinzar Cotton Company,1930,CAT1,AFG,Asia
Azerbaijan Caspian Shipping Company,1858,CAT2,AZE,Asia
BMMI,1883,CAT17,BHR,Asia
M. M. Ispahani Limited,1820,CAT11,BGD,Asia
Tashi Group,1959,CAT2,BTN,Asia
Hua Ho Department Store,1947,CAT17,BRN,Asia
National Bank of Cambodia,1954,CAT3,KHM,Asia
Ma Yu Ching's Bucket Chicken House,1153,CAT4,CHN,Asia
Bank of Georgia,1903,CAT3,GEO,Asia
Wadia Group,1736,CAT12,IND,Asia
Pindad,1808,CAT8,IDN,Asia
North Oil Company,1928,CAT10,IRQ,Asia
Café Abu Salem,1914,CAT4,ISR,Asia
Arab Bank,1930,CAT3,JOR,Asia
Bogatyr Access Komir,1913,CAT15,KAZ,Asia
M.H. Alshaya Co.,1890,CAT17,KWT,Asia
Electricite du Laos,1959,CAT10,LAO,Asia
Bank Audi,1830,CAT3,LBN,Asia
Pos Malaysia,1800,CAT16,MYS,Asia
Mongolian National Broadcaster,1931,CAT13,MNG,Asia
Myanmar National Airlines,1948,CAT2,MMR,Asia
Nepal Bank Limited,1937,CAT3,NPL,Asia
Kim Chong-t'ae Electric Locomotive Works,1945,CAT2,PRK,Asia
Petroleum Development Oman,1937,CAT10,OMN,Asia
House of Habib,1841,CAT5,PAK,Asia
Destileria Limtuaco,1853,CAT9,PHL,Asia
Salam International Investment Limited,1952,CAT5,QAT,Asia
Petrodvorets Watch Factory,1721,CAT7,RUS,Europe
House of Alireza,1845,CAT6,SAU,Asia
Singapore Post,1819,CAT16,SGP,Asia
KT Corporation,1885,CAT18,KOR,Asia
George Steuart Group,1835,CAT11,LKA,Asia
Bakdash,1885,CAT4,SYR,Asia
Bank of Taiwan,1897,CAT3,TWN,Asia
B.Grimm Group,1878,CAT5,THA,Asia
Liwa Chemicals,1939,CAT12,ARE,Asia
Tashkent Aviation Production Association,1932,CAT12,UZB,Asia
Vietnam Railways,1881,CAT2,VNM,Asia
Yemenia Airways,1962,CAT2,YEM,Asia
ALBtelecom,1912,CAT18,ALB,Europe
Andbank,1930,CAT3,AND,Europe
Yerevan Ararat Brandy-Wine-Vodka Factory,1877,CAT9,ARM,Asia
Olivaria Brewery,1864,CAT9,BLR,Europe
Affligem Brewery,1074,CAT9,BEL,Europe
Sarajevska Pivara,1864,CAT9,BIH,Europe
Arsenal AD,1878,CAT8,BGR,Europe
Kraljevica Shipyard,1729,CAT12,HRV,Europe
Bank of Cyprus,1899,CAT3,CYP,Europe
Pivovar Broumov,1348,CAT9,CZE,Europe
Munke Mølle,1135,CAT12,DNK,Europe
Raeapteek,1422,CAT14,EST,Europe
Fiskars,1649,CAT7,FIN,Europe
Piraeus Bank,1606,CAT3,GRC,Europe
Zwack,1790,CAT9,HUN,Europe
Íslandspóstur,1776,CAT16,ISL,Europe
Marinelli Bell Foundry,1040,CAT12,ITA,Europe
Meridian Corporation,1999,CAT13,XK,Europe
Cēsu Alus,1590,CAT9,LVA,Europe
National Bank of Liechtenstein,1861,CAT3,LIE,Europe
Gubernija,1665,CAT9,LTU,Europe
Mousel,1511,CAT9,LUX,Europe
HSBC Bank Malta,1882,CAT3,MLT,Europe
Pošta Crne Gore,1841,CAT16,MNE,Europe
The Brand Brewery,1340,CAT9,NLD,Europe
Tutunski kombinat Prilep,1873,CAT7,MKD,Europe
Posten Norge,1647,CAT16,NOR,Europe
Bochnia Salt Mine,1248,CAT15,POL,Europe
CTT-Correios de Portugal SA,1520,CAT16,PRT,Europe
Ursus Breweries,1878,CAT9,ROU,Europe
Apatin Brewery,1756,CAT9,SRB,Europe
Kremnica Mint,1328,CAT12,SVK,Europe
Gostilna Gastuž,1467,CAT19,SVN,Europe
Casa de Ganaderos,1218,CAT1,ESP,Europe
Skyllbergs bruk,1346,CAT12,SWE,Europe
Gasthof Sternen,1230,CAT19,CHE,Europe
Çemberlitaş Hamamı,1584,CAT19,TUR,Asia
Drohobych salt plant,1250,CAT12,UKR,Europe
Mount Gay Rum,1703,CAT9,BRB,North America
Belize Bank,1902,CAT3,BLZ,North America
Hudson's Bay Company,1670,CAT17,CAN,North America
Florida Ice and Farm Company,1908,CAT9,CRI,North America
Cubana de Aviación,1929,CAT2,CUB,North America
The Chronicle (Dominica),1909,CAT13,DMA,North America
HSBC El Salvador,1891,CAT3,SLV,North America
Corporación Multi Inversiones,1920,CAT11,GTM,North America
Rhum Barbancourt,1862,CAT9,HTI,North America
National Railroad of Honduras,1870,CAT2,HND,North America
Rose Hall,1770,CAT19,JAM,North America
La Casa de Moneda de México,1534,CAT12,MEX,North America
Flor de Caña,1890,CAT9,NIC,North America
National Bank of Panama,1904,CAT3,PAN,North America
1st National Bank of St Lucia,1938,CAT3,LCA,North America
House of Angostura,1830,CAT9,TTO,North America
Shirley Plantation,1638,CAT1,USA,North America
Bank of the Province of Buenos Aires,1822,CAT3,ARG,South America
Banco Nacional de Bolivia,1871,CAT3,BOL,South America
Casa da Moeda do Brasil,1694,CAT12,BRA,South America
Famae,1811,CAT8,CHL,South America
Casa de Moneda de Colombia,1621,CAT12,COL,South America
Banks DIH,1840,CAT11,GUY,South America
Casa Nacional de Moneda,1565,CAT3,PER,South America
Cafe Brasilero,1877,CAT4,URY,South America
Hacienda Chuao,1660,CAT11,VEN,South America
Australia Post,1809,CAT16,AUS,Oceania
Bank of New Zealand,1861,CAT3,NZL,Oceania
European Trust Company,1991,CAT3,VUT,Oceania
